Applicant_Income,Coapplicant_Income,Marital_Status,Loan_Amount,Property_Area,Education_Level,Gender,Loan_Approved,Credit_History
17795.0,1387.0,Yes,16619.0,Urban,Not Graduate,Female,N,0.0
2860.0,2679.0,Yes,38687.0,Semiurban,Graduate,,N,0.0
7390.0,2106.0,No,27943.0,Urban,,Female,Y,1.0
13964.0,8173.0,Yes,27819.0,Rural,Graduate,Female,N,0.0
13284.0,4223.0,No,12741.0,,Graduate,Male,Y,1.0
8265.0,4831.0,No,9798.0,Semiurban,Graduate,Male,N,0.0
18850.0,2768.0,Yes,26143.0,Rural,Graduate,Male,N,1.0
6426.0,3186.0,Yes,33747.0,Rural,Graduate,Female,N,0.0
16423.0,,Yes,34651.0,Semiurban,Graduate,Male,N,1.0
13363.0,2599.0,No,22182.0,Rural,Graduate,Female,Y,1.0
18023.0,4033.0,Yes,10415.0,Urban,Not Graduate,Female,Y,1.0
10322.0,8428.0,,12085.0,Semiurban,Graduate,Male,Y,1.0
3685.0,1304.0,Yes,16008.0,Rural,Graduate,Male,N,1.0
2769.0,7368.0,No,23102.0,Semiurban,Graduate,Male,N,1.0
4433.0,5877.0,No,19452.0,Semiurban,,Male,N,1.0
7051.0,2541.0,,8820.0,Urban,Graduate,Female,Y,1.0
8420.0,2051.0,Yes,19170.0,Urban,Graduate,Male,N,0.0
19568.0,6809.0,Yes,17259.0,Rural,Not Graduate,Female,N,0.0
8396.0,8633.0,No,23099.0,Urban,Graduate,Male,N,0.0
10666.0,8996.0,Yes,10649.0,Rural,Graduate,Male,N,0.0
4747.0,74.0,Yes,31255.0,Urban,Graduate,Male,N,0.0
2189.0,6981.0,Yes,12805.0,Urban,Graduate,Male,N,1.0
5005.0,5475.0,No,9744.0,Urban,,Female,Y,1.0
3899.0,8232.0,No,33305.0,Urban,Graduate,Female,N,1.0
3267.0,,,26857.0,Rural,,Male,N,0.0
13394.0,7141.0,Yes,30829.0,Urban,Not Graduate,Male,Y,1.0
5556.0,1622.0,Yes,11985.0,Urban,Not Graduate,Male,N,0.0
5890.0,8041.0,Yes,29287.0,Rural,Not Graduate,Female,N,0.0
10838.0,341.0,Yes,13391.0,Semiurban,Graduate,Female,N,1.0
16502.0,2074.0,Yes,5861.0,Urban,Graduate,Female,N,0.0
12627.0,,No,35364.0,Rural,Not Graduate,Male,N,1.0
10792.0,645.0,Yes,17863.0,Urban,Graduate,Male,N,0.0
12555.0,4263.0,Yes,32499.0,Urban,Not Graduate,Male,N,0.0
12253.0,8801.0,Yes,28794.0,Rural,Graduate,Male,N,0.0
10433.0,6136.0,Yes,8919.0,Urban,Graduate,Male,Y,1.0
12233.0,8646.0,No,21282.0,Rural,Graduate,Male,Y,1.0
13016.0,9900.0,Yes,,,Not Graduate,Male,N,0.0
4612.0,2969.0,Yes,6624.0,Semiurban,Not Graduate,Female,N,0.0
17787.0,3028.0,No,34706.0,Urban,Graduate,Female,Y,0.0
19159.0,7643.0,Yes,9176.0,Rural,Graduate,Male,N,0.0
